2016-09-15 21:27:30 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:27:30 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 21:30:07 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 21:30:07 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:30:07 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:30:07 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 21:34:30 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 21:34:30 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:34:30 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:34:30 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-16 17:50:43 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-16 17:50:43 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-16 17:50:43 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-16 17:50:43 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-16 17:52:49 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-16 17:52:49 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-16 17:52:49 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-16 17:52:49 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-16 17:54:22 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-16 17:54:22 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-16 17:54:22 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-16 17:54:22 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-16 18:06:11 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-16 18:06:11 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-16 18:06:11 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-16 18:06:11 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-16 18:17:11 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-16 18:17:11 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-16 18:17:11 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-16 18:17:11 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-16 18:26:21 Notice: Notice (8): Undefined property: App\Shell\ScrapShell::$mega_structure in [/app/vendor/cakephp/cakephp/src/Console/Shell.php, line 547]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
Cake\Console\Shell::__get() - CORE/src/Console/Shell.php, line 547
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 80
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:26:21 Notice: Notice (8): Undefined property: App\Shell\ScrapShell::$mega_structure in [/app/vendor/cakephp/cakephp/src/Console/Shell.php, line 547]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
Cake\Console\Shell::__get() - CORE/src/Console/Shell.php, line 547
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 83
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:26:21 Notice: Notice (8): Undefined variable: offset in [/app/src/Shell/scrapShell.php, line 83]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 83
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:32:59 Notice: Notice (8): Undefined property: App\Shell\ScrapShell::$Category in [/app/vendor/cakephp/cakephp/src/Console/Shell.php, line 547]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
Cake\Console\Shell::__get() - CORE/src/Console/Shell.php, line 547
App\Shell\ScrapShell::set_structure_for_mestergull() - APP/Shell/scrapShell.php, line 147
App\Shell\ScrapShell::build_mega_structure() - APP/Shell/scrapShell.php, line 123
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 78
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:36:37 Notice: Notice (8): Undefined property: App\Shell\ScrapShell::$mega_structure in [/app/vendor/cakephp/cakephp/src/Console/Shell.php, line 547]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
Cake\Console\Shell::__get() - CORE/src/Console/Shell.php, line 547
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 79
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:36:37 Notice: Notice (8): Undefined property: App\Shell\ScrapShell::$mega_structure in [/app/vendor/cakephp/cakephp/src/Console/Shell.php, line 547]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
Cake\Console\Shell::__get() - CORE/src/Console/Shell.php, line 547
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 82
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:36:37 Notice: Notice (8): Undefined variable: offset in [/app/src/Shell/scrapShell.php, line 82]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 82
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:37:04 Notice: Notice (8): Undefined property: App\Shell\ScrapShell::$mega_structure in [/app/vendor/cakephp/cakephp/src/Console/Shell.php, line 547]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
Cake\Console\Shell::__get() - CORE/src/Console/Shell.php, line 547
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 79
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:37:04 Notice: Notice (8): Undefined property: App\Shell\ScrapShell::$mega_structure in [/app/vendor/cakephp/cakephp/src/Console/Shell.php, line 547]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
Cake\Console\Shell::__get() - CORE/src/Console/Shell.php, line 547
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 82
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:37:04 Notice: Notice (8): Undefined variable: offset in [/app/src/Shell/scrapShell.php, line 82]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 82
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



